Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Rowing,2022-12-23 12:03:10,False,Indoor Rowing,--,961,01:14:06,153,177,3.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1432,0,0,0,--,0:00,75.2,0:00,No,01:14:06.02,1,80.6,32,14,46,--,--,--,--,00:00:00,01:14:06,--,--
Indoor Rowing,2022-12-21 14:27:27,False,Indoor Rowing,--,939,01:09:09,157,181,3.6,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1338,0,0,0,--,0:00,80.6,0:00,No,01:09:09.24,1,86.0,--,--,--,--,--,--,--,00:00:00,01:09:09,--,--
Indoor Rowing,2022-12-20 08:35:40,False,Indoor Rowing,--,117,00:11:17,128,146,0.8,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,220,0,0,0,--,0:00,75.2,0:00,No,11:16.60,1,78.8,--,--,--,--,--,--,--,00:00:00,00:11:17,--,--
Indoor Rowing,2022-12-19 11:38:37,False,Indoor Rowing,--,633,00:43:57,160,193,3.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,830,0,0,0,--,0:00,77.0,0:00,No,43:57.26,1,84.2,--,--,--,--,--,--,--,00:00:00,00:43:57,--,--
Rowing,2022-12-17 08:12:43,False,Row,--,678,01:09:15,131,180,3.1,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1277,0,0,0,--,0:00,71.6,0:00,No,01:09:14.83,1,80.6,--,--,--,--,--,--,--,00:00:00,01:09:15,--,--
Rowing,2022-12-16 08:39:28,False,Row,--,40,00:03:10.2,138,148,0.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,60,0,0,0,--,0:00,75.2,0:00,No,03:10.16,1,77.0,--,--,--,--,--,--,--,00:00:00,00:03:10.2,--,--
Rowing,2022-12-15 07:42:23,False,Row,--,667,01:08:56,135,180,2.6,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1314,0,0,0,--,0:00,78.8,0:00,No,01:08:56.10,1,82.4,--,--,--,--,--,--,--,00:00:00,01:08:56,--,--
Running,2022-12-14 08:26:03,False,Running,0.20,23,00:01:50.8,137,152,0.3,143,184,9:16,7:00,3,3,1.21,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,77.0,0:00,No,01:50.78,1,77.0,--,--,--,--,--,--,--,00:01:35,00:01:50.8,407,411
Multisport,2022-12-13 07:25:22,False,Multisport,0.00,877,01:30:35,0,172,3.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,2,0.0,--,--,--,--,--,--,--,00:00:00,01:30:35,--,--
Multisport,2022-12-12 07:38:15,False,Multisport,0.00,"1,257",01:56:29,0,182,3.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,2,0.0,--,--,--,--,--,--,--,00:00:00,01:56:29,--,--
Multisport,2022-12-10 07:26:42,False,Multisport,0.00,"1,062",01:35:08,0,172,3.3,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,2,0.0,--,--,--,--,--,--,--,00:00:00,01:35:08,--,--
Multisport,2022-12-09 11:55:41,False,Multisport,0.00,595,00:52:03,0,167,2.9,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,2,0.0,--,--,--,--,--,--,--,00:00:00,00:52:03,--,--
Rowing,2022-12-08 07:11:32,False,Row,--,"1,001",01:27:36,144,171,3.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1671,0,0,0,--,0:00,75.2,0:00,No,01:27:35.55,1,82.4,--,--,--,--,--,--,--,00:00:00,01:27:36,--,--
Rowing,2022-12-07 07:09:37,False,Row,--,634,00:49:08,159,221,4.1,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,764,0,0,0,--,0:00,78.8,0:00,No,49:07.83,1,86.0,--,--,--,--,--,--,--,00:00:00,00:49:08,--,--
Rowing,2022-12-06 06:58:41,False,Row,--,545,01:11:15,119,154,2.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,973,0,0,0,--,0:00,62.6,0:00,No,01:11:15.25,1,68.0,--,--,--,--,--,--,--,00:00:00,01:11:15,--,--
Rowing,2022-12-05 06:49:57,False,Row,--,543,00:58:00,134,172,2.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,997,0,0,0,--,0:00,77.0,0:00,No,58:00.15,1,80.6,--,--,--,--,--,--,--,00:00:00,00:58:00,--,--
Multisport,2022-12-03 10:13:57,False,Cambridge Multisport,2.51,882,00:49:56,0,197,5.0,--,--,3.0,--,149,117,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,3,0.0,--,--,--,--,--,--,--,00:00:00,00:49:56,22,99
Multisport,2022-12-02 09:14:41,False,Multisport,0.00,997,01:25:32,0,162,3.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,2,0.0,--,--,--,--,--,--,--,00:00:00,01:26:53,--,--
Rowing,2022-11-30 14:52:57,False,Row,--,403,00:35:00,149,193,3.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,508,0,0,0,--,0:00,82.4,0:00,No,35:00.01,1,86.0,--,--,--,--,--,--,--,00:00:00,00:35:00,--,--
Indoor Rowing,2022-11-30 06:52:23,False,Indoor Rowing,--,954,01:37:49,136,179,3.1,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1352,0,0,0,--,0:00,59.0,0:00,No,01:37:49.18,1,73.4,27,12,42,--,--,--,--,00:00:00,01:37:49,--,--
Strength Training,2022-11-29 13:16:00,False,Strength,0,145,00:27:29,101,116,0.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0,0,4,1,0:00,82.4,0:00,No,27:29.36,1,87.8,,,,--,--,--,--,00:27:29,00:27:29,--,--
Strength Training,2022-11-28 13:16:00,False,Strength,0,145,00:27:29,101,116,0.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0,0,4,1,0:00,82.4,0:00,No,27:29.36,1,87.8,,,,--,--,--,--,00:27:29,00:27:29,--,--
