Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Rowing,2023-05-05 16:28:05,False,Indoor Rowing,--,712,01:40:15,116,159,2.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1189,0,0,0,--,0:00,62.6,0:00,No,01:40:14.94,1,78.8,23,11,36,--,--,--,--,00:00:00,01:40:15,--,--
Indoor Rowing,2023-05-04 07:26:04,False,Indoor Rowing,--,680,01:56:43,110,177,2.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1414,0,0,0,--,0:00,64.4,0:00,No,01:56:43.12,1,71.6,22,11,38,--,--,--,--,00:00:00,01:56:43,--,--
Indoor Rowing,2023-05-03 06:54:12,False,Indoor Rowing,--,792,01:28:17,138,193,3.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1498,0,0,0,--,0:00,59.0,0:00,No,01:28:17.31,1,73.4,27,13,43,--,--,--,--,00:00:00,01:28:17,--,--
Indoor Rowing,2023-05-02 07:01:42,False,Indoor Rowing,--,664,01:36:48,116,153,1.7,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1187,0,0,0,--,0:00,57.2,0:00,No,01:36:47.93,1,66.2,22,12,42,--,--,--,--,00:00:00,01:36:48,--,--
Indoor Rowing,2023-04-28 16:46:32,False,Indoor Rowing,--,197,00:24:12,118,177,1.6,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,192,0,0,0,--,0:00,71.6,0:00,No,24:11.85,1,78.8,22,14,35,--,--,--,--,00:00:00,00:24:12,--,--
Indoor Rowing,2023-04-27 08:19:52,False,Indoor Rowing,--,168,00:17:53,139,188,2.1,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,157,0,0,0,--,0:00,66.2,0:00,No,17:52.96,1,75.2,30,19,40,--,--,--,--,00:00:00,00:17:53,--,--
Indoor Rowing,2023-04-27 06:45:13,False,Indoor Rowing,--,596,01:24:09,116,163,2.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1122,0,0,0,--,0:00,55.4,0:00,No,01:24:08.79,1,69.8,23,13,41,--,--,--,--,00:00:00,01:24:09,--,--
Indoor Rowing,2023-04-26 06:51:32,False,Indoor Rowing,--,681,01:38:12,119,186,2.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1179,0,0,0,--,0:00,60.8,0:00,No,01:38:11.85,1,68.0,24,12,44,--,--,--,--,00:00:00,01:38:12,--,--
Indoor Rowing,2023-04-25 06:57:51,False,Indoor Rowing,--,744,01:46:55,116,174,2.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1247,0,0,0,--,0:00,57.2,0:00,No,01:46:55.20,1,73.4,23,12,36,--,--,--,--,00:00:00,01:46:55,--,--
Indoor Rowing,2023-04-23 08:48:12,False,Indoor Rowing,--,850,01:53:02,125,186,2.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1692,0,0,0,--,0:00,57.2,0:00,No,01:53:01.81,1,71.6,25,12,44,--,--,--,--,00:00:00,02:02:31,--,--
Indoor Rowing,2023-04-22 09:16:13,False,Indoor Rowing,--,505,00:49:48,138,175,2.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,803,0,0,0,--,0:00,57.2,0:00,No,49:48.37,1,68.0,24,15,38,--,--,--,--,00:00:00,00:49:48,--,--
Indoor Rowing,2023-04-22 07:50:32,False,Indoor Rowing,--,345,00:25:23,159,199,2.8,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,314,0,0,0,--,0:00,77.0,0:00,No,25:22.70,1,78.8,32,23,43,--,--,--,--,00:00:00,00:25:23,--,--
Indoor Rowing,2023-04-21 16:27:47,False,Indoor Rowing,--,519,00:54:28,128,156,2.1,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,858,0,0,0,--,0:00,57.2,0:00,No,54:28.29,1,75.2,27,14,38,--,--,--,--,00:00:00,00:54:28,--,--
Indoor Rowing,2023-04-20 06:51:17,False,Indoor Rowing,--,818,01:54:41,119,185,2.6,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1745,0,0,0,--,0:00,55.4,0:00,No,01:54:40.75,1,71.6,24,12,39,--,--,--,--,00:00:00,01:54:41,--,--
Indoor Rowing,2023-04-19 14:56:27,False,Indoor Rowing,--,669,01:06:29,136,152,2.3,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1307,0,0,0,--,0:00,82.4,0:00,No,01:06:29.25,1,86.0,--,--,--,--,--,--,--,00:00:00,01:10:27,--,--
Indoor Rowing,2023-04-19 06:55:10,False,Indoor Rowing,--,852,01:40:54,130,181,3.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1771,0,0,0,--,0:00,55.4,0:00,No,01:40:54.10,1,68.0,25,15,53,--,--,--,--,00:00:00,01:40:54,--,--
Indoor Rowing,2023-04-18 14:18:05,False,Indoor Rowing,--,927,01:06:57,155,174,3.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1287,0,0,0,--,0:00,77.0,0:00,No,01:06:56.74,1,82.4,33,19,42,--,--,--,--,00:00:00,01:06:57,--,--
Indoor Rowing,2023-04-18 07:14:02,False,Indoor Rowing,--,906,01:26:15,141,172,3.1,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1442,0,0,0,--,0:00,60.8,0:00,No,01:26:15.29,1,68.0,24,12,36,--,--,--,--,00:00:00,01:26:15,--,--
Indoor Rowing,2023-04-16 09:05:57,False,Indoor Rowing,--,899,01:48:29,134,188,3.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1814,0,0,0,--,0:00,62.6,0:00,No,01:48:28.92,1,69.8,25,12,42,--,--,--,--,00:00:00,01:48:29,--,--
Indoor Rowing,2023-04-15 07:56:18,False,Indoor Rowing,--,789,01:38:17,129,184,2.7,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1457,0,0,0,--,0:00,60.8,0:00,No,01:38:16.78,1,71.6,25,15,39,--,--,--,--,00:00:00,01:38:17,--,--
Indoor Rowing,2023-04-14 06:38:12,False,Indoor Rowing,--,795,01:50:50,116,165,2.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1535,0,0,0,--,0:00,73.4,0:00,No,01:50:49.80,1,82.4,23,11,42,--,--,--,--,00:00:00,01:50:50,--,--
Indoor Rowing,2023-04-13 09:17:22,False,Indoor Rowing,--,684,01:06:49,136,164,2.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1123,0,0,0,--,0:00,80.6,0:00,No,01:06:49.09,1,93.2,24,12,37,--,--,--,--,00:00:00,01:06:49,--,--
Indoor Rowing,2023-04-13 07:25:50,False,Indoor Rowing,--,652,01:05:42,139,185,3.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1116,0,0,0,--,0:00,68.0,0:00,No,01:05:41.65,1,80.6,27,11,41,--,--,--,--,00:00:00,01:05:42,--,--
Indoor Cycling,2023-04-11 14:52:14,False,Indoor Cycling,0.00,903,01:04:49,151,166,3.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,80.6,0:00,No,01:04:48.100,1,86.0,--,--,--,--,--,--,--,00:00:00,01:04:49,--,--
Indoor Rowing,2023-04-11 08:49:02,False,Indoor Rowing,--,909,01:11:26,150,171,3.3,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1306,0,0,0,--,0:00,78.8,0:00,No,01:11:26.40,1,86.0,32,11,45,--,--,--,--,00:00:00,01:13:07,--,--
Indoor Rowing,2023-04-05 07:23:24,False,Indoor Rowing,--,615,01:14:07,134,189,2.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,842,0,0,0,--,0:00,62.6,0:00,No,01:14:06.96,1,64.4,26,16,41,--,--,--,--,00:00:00,01:14:07,--,--
Indoor Rowing,2023-04-04 07:08:44,False,Indoor Rowing,--,730,01:24:58,134,187,2.7,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1430,0,0,0,--,0:00,59.0,0:00,No,01:24:57.83,1,66.2,27,16,43,--,--,--,--,00:00:00,01:24:58,--,--
Running,2023-04-03 14:45:45,False,Running,3.73,519,00:39:03,148,169,2.6,139,225,10:28,4:08,46,17,1.1,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,77.0,0:00,No,09:22.33,4,82.4,--,--,--,--,--,--,--,00:35:30,00:51:29,785,819
Indoor Rowing,2023-04-03 06:47:24,False,Indoor Rowing,--,937,01:35:51,141,191,3.3,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1496,0,0,0,--,0:00,53.6,0:00,No,01:35:50.69,1,77.0,29,12,44,--,--,--,--,00:00:00,01:35:51,--,--
Indoor Rowing,2023-04-01 08:10:24,False,Indoor Rowing,--,226,00:18:25,150,191,2.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,320,0,0,0,--,0:00,57.2,0:00,No,18:25.32,1,60.8,31,18,42,--,--,--,--,00:00:00,00:18:25,--,--
Indoor Rowing,2023-03-31 16:29:39,False,Indoor Rowing,--,643,01:10:02,131,177,2.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,872,0,0,0,--,0:00,57.2,0:00,No,01:10:02.48,1,69.8,28,16,40,--,--,--,--,00:00:00,01:10:02,--,--
Indoor Cycling,2023-03-31 06:41:30,False,Indoor Cycling,0.00,989,01:22:46,142,157,3.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,75.2,0:00,No,01:22:45.61,1,84.2,--,--,--,--,--,--,--,00:00:00,01:22:46,--,--
Running,2023-03-29 14:43:23,False,Running,6.87,901,01:02:09,158,172,3.5,151,188,9:02,3:49,49,13,1.18,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,75.2,0:00,No,08:37.89,7,82.4,--,--,--,--,--,--,--,01:00:16,01:02:09,716,757
Indoor Rowing,2023-03-29 07:01:32,False,Indoor Rowing,--,819,01:51:43,122,182,2.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1452,0,0,0,--,0:00,59.0,0:00,No,01:51:43.35,1,68.0,24,13,39,--,--,--,--,00:00:00,01:51:43,--,--
Indoor Rowing,2023-03-28 06:46:33,False,Indoor Rowing,--,908,01:50:57,122,174,2.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1340,0,0,0,--,0:00,50.0,0:00,No,01:50:56.50,1,68.0,26,11,45,--,--,--,--,00:00:00,01:50:57,--,--
Indoor Rowing,2023-03-27 14:47:55,False,Indoor Rowing,--,"1,030",01:19:09,156,178,3.8,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1335,0,0,0,--,0:00,78.8,0:00,No,01:19:08.52,1,86.0,--,--,--,--,--,--,--,00:00:00,01:19:09,--,--
Indoor Rowing,2023-03-27 07:13:51,False,Indoor Rowing,--,925,01:35:54,141,188,3.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1485,0,0,0,--,0:00,57.2,0:00,No,01:35:53.89,1,62.6,26,13,38,--,--,--,--,00:00:00,01:35:54,--,--
Indoor Rowing,2023-03-25 09:43:13,False,Indoor Rowing,--,231,00:24:51,124,153,1.8,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,278,0,0,0,--,0:00,55.4,0:00,No,24:51.30,1,59.0,--,--,--,--,--,--,--,00:00:00,00:24:51,--,--
Indoor Rowing,2023-03-23 14:18:10,False,Indoor Rowing,--,905,01:06:09,153,177,3.3,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1248,0,0,0,--,0:00,78.8,0:00,No,01:06:08.97,1,84.2,34,18,43,--,--,--,--,00:00:00,01:06:09,--,--
Indoor Rowing,2023-03-23 07:23:20,False,Indoor Rowing,--,491,01:04:10,116,166,1.8,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,744,0,0,0,--,0:00,57.2,0:00,No,01:04:10.48,1,62.6,25,11,42,--,--,--,--,00:00:00,01:04:10,--,--
Indoor Rowing,2023-03-22 07:40:16,False,Indoor Rowing,--,538,01:11:09,123,179,2.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1233,0,0,0,--,0:00,53.6,0:00,No,01:11:08.86,1,60.8,25,13,39,--,--,--,--,00:00:00,01:11:09,--,--
Indoor Rowing,2023-03-21 14:17:49,False,Indoor Rowing,--,929,01:10:03,152,175,3.5,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1257,0,0,0,--,0:00,80.6,0:00,No,01:10:03.21,1,86.0,33,18,42,--,--,--,--,00:00:00,01:10:03,--,--
Indoor Rowing,2023-03-21 07:24:24,False,Indoor Rowing,--,580,01:14:44,122,169,2.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,984,0,0,0,--,0:00,57.2,0:00,No,01:14:43.72,1,66.2,23,11,36,--,--,--,--,00:00:00,01:14:44,--,--
Indoor Cycling,2023-03-20 14:46:50,False,Indoor Cycling,0.00,"1,134",01:20:53,153,169,3.8,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,77.0,0:00,No,01:20:52.75,1,80.6,--,--,--,--,--,--,--,00:00:00,01:23:43,--,--
Indoor Rowing,2023-03-20 07:06:44,False,Indoor Rowing,--,673,01:37:13,114,161,1.7,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1074,0,0,0,--,0:00,60.8,0:00,No,01:37:12.52,1,73.4,24,13,39,--,--,--,--,00:00:00,01:37:13,--,--
