Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Rowing,2023-07-22 08:38:10,false,"Indoor Rowing","--","464","00:37:41","153","187","2.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","725","0","0","0","--","0:00","80.6","0:00","No","37:40.82","1","86.0","31","19","41","--","--","--","--","--","00:00:00","00:37:41","--","--"
Running,2023-07-21 09:44:39,false,"Stonington Running","4.01","573","00:39:07","161","177","3.0","153","163","9:46","7:30","192","208","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","80.6","0:00","No","00:02.32","5","86.0","34","17","43","--","--","--","--","--","00:39:02","00:40:34","27","108"
Indoor Cycling,2023-07-20 07:38:55,false,"Indoor Cycling","0.00","1,579","02:15:33","145","172","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","02:15:32.85","1","87.8","32","19","42","--","--","--","--","--","00:00:00","02:30:58","--","--"
Yoga,2023-07-19 14:47:20,false,"Yoga","--","23","00:04:03.1","103","109","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","87.8","0:00","No","04:03.09","1","89.6","14","12","15","-5","96","91","94","96","00:04:03.1","00:04:03.1","--","--"
Strength Training,2023-07-19 13:55:41,false,"Strength","0.00","296","00:50:57","105","138","0.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","5","1","0:00","78.8","0:00","No","50:56.69","1","89.6","--","--","--","--","--","--","--","--","00:50:57","00:50:57","--","--"
Running,2023-07-19 07:53:27,false,"Stonington Running","5.82","874","01:00:02","163","175","3.3","151","163","10:19","7:55","243","234","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","78.8","0:00","No","08:52.81","6","84.2","35","19","51","--","--","--","--","--","00:59:57","01:00:32","90","174"
Yoga,2023-07-18 09:41:53,false,"Yoga","--","2","00:02:19.4","72","72","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","84.2","0:00","No","02:19.45","1","84.2","13","12","15","--","--","--","--","--","00:02:19.4","00:02:19.4","--","--"
Indoor Rowing,2023-07-18 08:32:02,false,"Indoor Rowing","--","723","01:00:42","150","184","3.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1101","0","0","0","--","0:00","80.6","0:00","No","01:00:41.100","1","87.8","30","14","40","--","--","--","--","--","00:00:00","01:00:42","--","--"
Yoga,2023-07-17 14:49:57,false,"Yoga","--","34","00:06:38.4","99","110","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","80.6","0:00","No","06:38.44","1","82.4","13","12","15","-6","95","89","91","95","00:06:38.4","00:06:38.4","--","--"
Strength Training,2023-07-17 14:26:13,false,"Strength","0.00","143","00:23:30","104","124","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","6","1","0:00","82.4","0:00","No","23:30.19","1","87.8","--","--","--","--","--","--","--","--","00:23:30","00:23:30","--","--"
